country,avg_health_expenditure,avg_life_expectancy
Ireland,4575.253989480454,79.90923702355587
Israel,2348.5677268281815,80.87966514356208
Italy,2800.904474431364,81.44230813691111
Jamaica,299.40752064136365,72.57298567800811
Japan,3710.725785689091,83.16206602616744
Jordan,255.88182830772735,76.43875630696614
Kazakhstan,228.50334618318172,68.64564236727628
Kenya,55.61667260136365,60.89841166409579
Kiribati,150.908410505,61.23607051733768
Kuwait,1083.6308690854546,80.38169236616655
Latvia,757.5609193281816,72.68684699318625
Lebanon,499.1967704086364,77.50890754930901
Lesotho,87.61215313909088,48.09421920776367
Liberia,40.5127813809091,59.391279104984164
Libya,363.99668052,73.52124682339755
Lithuania,837.2463469068186,73.18270989620325
Luxembourg,5940.167824485909,80.97924296061198
Madagascar,18.611086802272723,61.98801329641631
Malawi,28.951480105909088,55.896324966893054
Malaysia,288.29690967818186,74.31552493933475
Maldives,609.892053085,74.68881364302202
Mali,27.032361160454556,58.28155766111432
Malta,1918.1556840381818,80.37463841293797
Mauritania,44.84100047136363,67.66543723597671
Mauritius,369.41990176045465,73.10146701697147
Mexico,511.01411160545456,74.914588581432
Mongolia,119.84781065909091,67.55968249927868
Montenegro,683.3808815700002,76.38364664713542
Morocco,142.6167266145455,72.18878474380031
Mozambique,27.539925814090914,54.23587868430398
Myanmar,33.015585920454555,64.36618354103781
Namibia,421.7345490895454,58.424560604673445
Nepal,31.299819555909092,69.11432324033795
New Zealand,2923.2192438304555,80.54626961910364
Nicaragua,121.25980290499997,76.73525896939364
Niger,22.604824239545458,57.14590766213157
Nigeria,64.54286792,59.43375506545558
North Macedonia,320.30170024590905,74.50566944931492
Norway,6970.002752132274,80.92986424763997
Oman,532.5348385895453,73.87885631214489
Pakistan,27.01076772045456,64.26054180029666
Panama,727.6270682586363,77.32131657455906
Papua New Guinea,44.79708376818183,64.94266273036148
Paraguay,270.54953107,74.81773804173325
Peru,240.90226156045452,77.68918378425367
Philippines,90.08675367227275,69.5599320151589
Poland,721.9285555754545,75.96170182661577
Portugal,1935.1810774372727,79.47065041281961
Qatar,1539.2791165445456,74.58503422592625
Romania,430.99533150409087,73.47063422925544
Russian Federation,498.1180284672729,68.84332506584398
Rwanda,36.29278148318183,61.56050173441569
